('safes', 1.127478183038711)
('rases', 1.127858581338107)
('takes', 1.128955023495189)
('dotes', 1.1291564108301633)
('daces', 1.1309241441038265)
('braes', 1.13360930857015)
('sakes', 1.1348623853211008)
('dames', 1.1352204072499439)
('yores', 1.1354217945849183)
('paces', 1.135802192884314)
('cages', 1.1370776460058178)
('roues', 1.138464980980085)
('kanes', 1.1397404341015887)
('moles', 1.1398523159543523)
('tates', 1.1401208324009846)
('tabes', 1.14016558514209)
('laces', 1.1408144998881182)
('rages', 1.1415081673752518)
('hates', 1.142962631461177)
('wanes', 1.1430297605728352)
('kales', 1.1432982770194675)
('capes', 1.1435220407249944)
('fates', 1.1437234280599686)
('lames', 1.1451107630342359)
('nates', 1.1454464085925262)
('sabes', 1.1460729469680018)
('lades', 1.1461848288207652)
('wales', 1.1465876034907139)
('cotes', 1.1472812709778475)
('aures', 1.1478630566122177)
('rapes', 1.1479525620944282)
('bones', 1.1488252405459836)
('sages', 1.1489371223987468)
('tapes', 1.1494741552920116)
('doles', 1.1496531662564333)
('gates', 1.1500783172969344)
('pones', 1.1509733721190423)
('cires', 1.1516222868650705)
('rotes', 1.1517117923472813)
('boles', 1.1523830834638622)
('cames', 1.153345267397628)
('races', 1.1534795256209442)
('cades', 1.1544193331841575)
('poles', 1.1545312150369211)
('taces', 1.1550011188185276)
('tires', 1.1575744014320877)
('mates', 1.1581785634370105)
('tames', 1.1592973819646453)
('fores', 1.1598791675990154)
('fanes', 1.1606623405683598)
('hales', 1.1634593868874468)
('sires', 1.1634817632579995)
('cones', 1.1642201834862385)
('gores', 1.1662340568359812)
('sades', 1.1662788095770866)
('coles', 1.1677780264041173)
('dates', 1.1679794137390915)
('tones', 1.1701722980532558)
('gales', 1.1705750727232043)
('bates', 1.1707093309465204)
('roles', 1.172208547773551)
('pates', 1.1728574625195793)
('toles', 1.1737301409711345)
('mores', 1.1743343029760571)
('manes', 1.1751174759454017)
('sones', 1.1760796598791676)
('males', 1.1786753188632804)
('soles', 1.1796375027970463)
('rares', 1.1802192884314164)
('wares', 1.1810695905124189)
('cates', 1.1861042738867755)
('bores', 1.1868650704855672)
('banes', 1.1876482434549116)
('dales', 1.1884761691653614)
('pores', 1.189013202058626)
('panes', 1.1897963750279705)
('rates', 1.1905347952562093)
('bales', 1.1912060863727905)
('pales', 1.1933542179458492)
('lores', 1.19402550906243)
('lanes', 1.1948086820317745)
('hares', 1.197941373909152)
('sates', 1.1979637502797047)
('fares', 1.1987021705079437)
('nares', 1.200425151040501)
('cores', 1.2022600134258223)
('canes', 1.2030431863951667)
('tores', 1.2082121279928395)
('rales', 1.2110315506824794)
('tales', 1.2125531438800627)
('mares', 1.2131573058849854)
('sores', 1.2141194898187513)
('sanes', 1.2149026627880959)
('sales', 1.2184605057059745)
('dares', 1.2229581561870664)
('bares', 1.2256880733944953)
('pares', 1.2278362049675542)
('lares', 1.2328485119713581)
('cares', 1.2410830163347506)
('tares', 1.2470351309017678)
